Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,4000,[  7.633      672.30074588],[ 0.50379659 44.13905467],[  7.         535.49712068],[  9.        833.6550979],"[23, 11, 17, 13, 5, 3, 7, 6, 4, 19, 16, 12, 10, 24, 25, 22, 21, 2, 18, 9, 1, 14, 8, 15, 20]","(7.0, 537.0500543165051)"
1,3180,[  7.4175     627.93558873],[ 0.49668275 26.61385609],[  7.         528.48205797],[  9.         664.51118429],"[5, 3, 21, 20, 17, 16, 19, 7, 4, 1, 15, 10, 24, 25, 22, 18, 14, 11, 8, 9, 12, 13, 23, 2, 6]","(7.0, 528.4820579713825)"
2,3230,[  7.30725    601.26075689],[ 0.46297671 21.93614247],[  7.         509.51502078],[  9.         629.46369956],"[16, 12, 14, 23, 24, 1, 2, 18, 15, 8, 11, 4, 7, 10, 19, 13, 17, 21, 5, 9, 6, 20, 22, 3, 25]","(7.0, 509.5150207757225)"
3,3184,[  7.2005     579.46410351],[ 0.4022434  17.57825227],[  7.         509.51502078],[  9.         602.32325071],"[16, 12, 14, 23, 24, 1, 2, 18, 15, 8, 11, 4, 7, 10, 19, 13, 17, 21, 5, 9, 6, 20, 22, 3, 25]","(7.0, 509.5150207757225)"
4,3188,[  7.12625  562.168532],[ 0.3321309  14.34446333],[  7.         493.68813984],[  8.         581.61028011],"[2, 5, 12, 10, 14, 17, 16, 7, 9, 8, 4, 3, 20, 19, 13, 22, 18, 15, 24, 11, 6, 1, 25, 23, 21]","(7.0, 493.6881398416943)"
5,3228,[  7.07       548.37313733],[ 0.25514702 11.23542184],[  7.         488.80830197],[  8.         562.04591829],"[15, 14, 12, 20, 10, 11, 2, 18, 25, 24, 7, 23, 21, 22, 5, 16, 19, 17, 13, 9, 6, 1, 8, 4, 3]","(7.0, 488.8083019678224)"
6,3204,[  7.065      537.83554231],[0.24652586 9.75278559],[  7.         484.87185394],[  8.         549.29969542],"[12, 15, 9, 11, 22, 20, 21, 6, 8, 4, 7, 25, 18, 2, 1, 3, 5, 16, 14, 10, 23, 19, 13, 17, 24]","(7.0, 484.87185394291987)"
7,3268,[  7.0685     529.40733786],[ 0.25260196 10.411045  ],[  7.         484.80725077],[  8.         540.32662967],"[15, 14, 12, 20, 10, 11, 2, 18, 25, 24, 7, 23, 21, 22, 5, 16, 19, 17, 13, 9, 1, 6, 8, 4, 3]","(7.0, 484.8072507710375)"
8,3280,[  7.06225    520.48492996],[ 0.24160906 10.65983364],[  7.         467.74215464],[  8.         532.68971458],"[16, 12, 14, 7, 3, 1, 2, 18, 10, 8, 11, 4, 23, 15, 19, 13, 17, 21, 5, 9, 6, 20, 22, 24, 25]","(7.0, 467.74215463779416)"
9,3192,[  7.054      510.97798351],[0.2260177  9.41304817],[  7.         461.97071173],[  8.         523.21277462],"[16, 12, 14, 23, 3, 1, 2, 18, 15, 8, 11, 4, 7, 10, 19, 13, 17, 21, 5, 9, 6, 20, 22, 24, 25]","(7.0, 461.97071173365407)"
10,3164,[  7.03775    502.58614154],[0.19059102 8.01924637],[  7.         460.36049685],[  8.         511.02257006],"[16, 12, 14, 23, 24, 1, 2, 18, 15, 8, 3, 4, 7, 10, 19, 13, 17, 21, 5, 9, 6, 11, 22, 25, 20]","(7.0, 460.3604968474373)"
11,3142,[  7.0465     494.91978288],[0.21056531 6.41508075],[  7.         452.44172713],[  8.         504.84907544],"[16, 12, 14, 7, 3, 1, 2, 18, 15, 8, 11, 4, 21, 17, 19, 13, 10, 23, 5, 9, 6, 20, 22, 24, 25]","(7.0, 452.44172713142814)"
12,3238,[  7.004      489.53291269],[0.06311894 6.23796672],[  7.         452.44172713],[  8.         495.67807303],"[16, 12, 14, 7, 3, 1, 2, 18, 15, 8, 11, 4, 21, 17, 19, 13, 10, 23, 5, 9, 6, 20, 22, 24, 25]","(7.0, 452.44172713142814)"
13,3166,[  7.0045     484.31587751],[0.06693093 6.38764692],[  7.         445.43739572],[  8.        491.1193692],"[16, 12, 14, 23, 3, 1, 2, 13, 15, 8, 11, 4, 7, 10, 19, 18, 17, 21, 5, 9, 6, 20, 22, 24, 25]","(7.0, 445.4373957222537)"
14,3156,[  7.007      479.33343059],[0.08337266 7.17635024],[  7.         445.43739572],[  8.        485.0126973],"[16, 12, 14, 23, 3, 1, 2, 13, 15, 8, 11, 4, 7, 10, 19, 18, 17, 21, 5, 9, 6, 20, 22, 24, 25]","(7.0, 445.4373957222537)"
15,3252,[  7.00675    473.66708875],[0.08188063 7.84599243],[  7.         432.32023946],[  8.         482.55822664],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 11, 3, 7, 10, 19, 18, 17, 21, 5, 9, 23, 25, 22, 24, 20]","(7.0, 432.32023946285034)"
16,3156,[  7.0005     466.82254869],[0.02235509 6.82354076],[  7.         432.32023946],[  8.         476.87162661],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 11, 3, 7, 10, 19, 18, 17, 21, 5, 9, 23, 25, 22, 24, 20]","(7.0, 432.32023946285034)"
17,3168,[  7.001      460.99592139],[0.03160696 5.41247241],[  7.         432.32023946],[  8.         467.74215464],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 11, 3, 7, 10, 19, 18, 17, 21, 5, 9, 23, 25, 22, 24, 20]","(7.0, 432.32023946285034)"
18,3148,[  7.00175    456.55169592],[0.04179638 4.95721642],[  7.         432.32023946],[  8.         461.97071173],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 11, 3, 7, 10, 19, 18, 17, 21, 5, 9, 23, 25, 22, 24, 20]","(7.0, 432.32023946285034)"
19,3166,[  7.         452.14189316],[0.        4.3459374],[  7.         432.32023946],[  7.         458.25921937],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 11, 3, 7, 10, 19, 18, 17, 21, 5, 9, 23, 25, 22, 24, 20]","(7.0, 432.32023946285034)"
20,3182,[  7.0005     448.87070298],[0.02235509 4.65128065],[  7.         425.63470396],[  8.         453.29681467],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 10, 19, 18, 17, 21, 5, 11, 23, 22, 25, 24, 20]","(7.0, 425.63470395977134)"
21,3200,[  7.00025    444.85991269],[0.01580941 4.35252846],[  7.         412.57131895],[  8.         451.41462767],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 11, 3, 7, 10, 19, 18, 17, 9, 5, 21, 23, 25, 22, 24, 20]","(7.0, 412.571318946937)"
22,3164,[  7.         441.88341346],[0.         4.35844523],[  7.         412.57131895],[  7.         445.43739572],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 11, 3, 7, 10, 19, 18, 17, 9, 5, 21, 23, 25, 22, 24, 20]","(7.0, 412.571318946937)"
23,3192,[  7.         438.42226844],[0.         4.57906208],[  7.         412.57131895],[  7.         443.62525535],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 11, 3, 7, 10, 19, 18, 17, 9, 5, 21, 23, 25, 22, 24, 20]","(7.0, 412.571318946937)"
24,3204,[  7.         434.23189207],[0.         3.34234147],[  7.         405.67329223],[  7.         440.23801179],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 10, 19, 18, 17, 11, 5, 21, 23, 22, 25, 24, 20]","(7.0, 405.6732922279111)"
25,3220,[  7.         431.63304245],[0.         2.64178877],[  7.         405.67329223],[  7.         432.34910178],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 10, 19, 18, 17, 11, 5, 21, 23, 22, 25, 24, 20]","(7.0, 405.6732922279111)"
26,3192,[  7.         430.65578624],[0.         3.89350819],[  7.         405.67329223],[  7.         432.32023946],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 10, 19, 18, 17, 11, 5, 21, 23, 22, 25, 24, 20]","(7.0, 405.6732922279111)"
27,3266,[  7.         428.68214528],[0.         5.17923664],[  7.         405.67329223],[  7.         432.32023946],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 10, 19, 18, 17, 11, 5, 21, 23, 22, 25, 24, 20]","(7.0, 405.6732922279111)"
28,3192,[  7.         424.82454024],[0.         5.69030872],[  7.         405.67329223],[  7.         430.58040351],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 10, 19, 18, 17, 11, 5, 21, 23, 22, 25, 24, 20]","(7.0, 405.6732922279111)"
29,3150,[  7.         420.65261135],[0.         5.99992166],[  7.         405.67329223],[  7.         425.63470396],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 10, 19, 18, 17, 11, 5, 21, 23, 22, 25, 24, 20]","(7.0, 405.6732922279111)"
30,3182,[  7.         415.47441959],[0.         5.06398899],[  7.         404.34485707],[  7.         424.71249317],"[16, 12, 14, 6, 4, 2, 1, 13, 15, 8, 9, 3, 7, 10, 19, 18, 17, 11, 5, 21, 23, 22, 25, 24, 20]","(7.0, 404.3448570675562)"
31,3234,[  7.         411.54832303],[0.         2.03141902],[  7.         402.22324757],[  7.         412.57131895],"[16, 14, 12, 6, 4, 1, 2, 13, 15, 10, 9, 3, 7, 8, 19, 18, 17, 11, 5, 21, 23, 22, 25, 24, 20]","(7.0, 402.22324757366795)"
32,3130,[  7.         410.30784241],[0.         2.53530909],[  7.         401.39482045],[  7.         412.57131895],"[16, 14, 12, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 10, 19, 18, 17, 11, 5, 21, 23, 22, 25, 24, 20]","(7.0, 401.3948204489218)"
33,3202,[  7.         408.13852177],[0.         2.09946128],[  7.         401.39482045],[  7.         411.24288379],"[16, 14, 12, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 10, 19, 18, 17, 11, 5, 21, 23, 22, 25, 24, 20]","(7.0, 401.3948204489218)"
34,3220,[  7.         406.20388505],[0.         1.17680252],[  7.         397.84710246],[  7.         409.06655836],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 397.8471024571123)"
35,3200,[  7.         405.47087405],[0.         0.71444276],[  7.         397.84710246],[  7.         405.67329223],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 397.8471024571123)"
36,3188,[  7.         405.19000939],[0.         1.09131705],[  7.         397.84710246],[  7.         405.67329223],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 397.8471024571123)"
37,3170,[  7.         404.60690176],[0.         1.45534356],[  7.         397.84710246],[  7.         405.67329223],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 397.8471024571123)"
38,3224,[  7.         403.52584086],[0.        1.5625434],[  7.         395.42631619],[  7.         405.17183947],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 9, 7, 3, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 395.42631618511973)"
39,3202,[  7.         402.40196492],[0.         1.73378507],[  7.         395.42631619],[  7.         404.29477377],"[16, 12, 14, 6, 4, 1, 2, 13, 15, 8, 9, 7, 3, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 395.42631618511973)"
40,3202,[  7.         401.14267593],[0.         1.71840939],[  7.         394.61467924],[  7.         402.44086902],"[12, 16, 14, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 394.6146792449391)"
41,3218,[  7.         399.90637148],[0.        1.8553826],[  7.         393.56863068],[  7.         402.22324757],"[16, 14, 12, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 393.568630678123)"
42,3220,[  7.         398.23122134],[0.         1.11374628],[  7.         393.56863068],[  7.         401.14547565],"[16, 14, 12, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 393.568630678123)"
43,3176,[  7.         397.58331814],[0.         0.63750597],[  7.         393.56863068],[  7.         397.84710246],"[16, 14, 12, 6, 4, 1, 2, 13, 15, 8, 9, 3, 7, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 393.568630678123)"
44,3184,[  7.         397.26369341],[0.         0.86343376],[  7.         392.19389297],[  7.         397.84710246],"[12, 16, 14, 6, 4, 1, 2, 13, 15, 8, 9, 7, 3, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 392.1938929729465)"
45,3236,[  7.        396.6407904],[0.         0.94631553],[  7.         391.14784441],[  7.         397.84710246],"[16, 14, 12, 6, 4, 1, 2, 13, 15, 8, 9, 7, 3, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 391.1478444061304)"
46,3226,[  7.         395.96156408],[0.         0.90147633],[  7.         391.14784441],[  7.         396.67105444],"[16, 14, 12, 6, 4, 1, 2, 13, 15, 8, 9, 7, 3, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 391.1478444061304)"
47,3222,[  7.         395.27716852],[0.         0.94597441],[  7.         391.14784441],[  7.         396.58013854],"[16, 14, 12, 6, 4, 1, 2, 13, 15, 8, 9, 7, 3, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 391.1478444061304)"
48,3200,[  7.         394.60476038],[0.         0.91968592],[  7.         391.14784441],[  7.         395.42631619],"[16, 14, 12, 6, 4, 1, 2, 13, 15, 8, 9, 7, 3, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 391.1478444061304)"
49,3206,[  7.         393.80669457],[0.         0.71856504],[  7.         391.14784441],[  7.         395.27660572],"[16, 14, 12, 6, 4, 1, 2, 13, 15, 8, 9, 7, 3, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 391.1478444061304)"
50,3274,[  7.         393.27082482],[0.         0.63029728],[  7.         390.37676807],[  7.         393.56863068],"[16, 14, 12, 6, 4, 1, 2, 13, 15, 8, 9, 7, 3, 5, 19, 18, 17, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 390.37676807007)"
51,3200,[  7.         392.92200426],[0.        0.8121176],[  7.         389.81940925],[  7.         393.56863068],"[16, 14, 12, 6, 4, 2, 1, 13, 15, 8, 9, 7, 3, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 389.81940924577555)"
52,3154,[  7.        392.2445454],[0.         0.71790674],[  7.         389.81940925],[  7.         393.56863068],"[16, 14, 12, 6, 4, 2, 1, 13, 15, 8, 9, 7, 3, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 389.81940924577555)"
53,3226,[  7.         391.64518833],[0.         0.49576257],[  7.         388.10968685],[  7.         392.24019552],"[16, 14, 12, 7, 4, 1, 2, 13, 15, 8, 9, 6, 3, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 388.10968685134105)"
